#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x86__8wekyb3d8bbwe"
"Windows Rekenmachine","MSIX\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe"
"Windows Camera","MSIX\Microsoft.WindowsCamera_2025.2510.2.0_x64__8wekyb3d8bbwe"
"Windows Kaarten","MSIX\Microsoft.WindowsMaps_11.2506.3.0_x64__8wekyb3d8bbwe"
"Windows Kladblok","MSIX\Microsoft.WindowsNotepad_11.2510.14.0_x64__8wekyb3d8bbwe"
"Windows-geluidsrecorder","MSIX\Microsoft.WindowsSoundRecorder_11.2512.0.0_x64__8wekyb3d8bbwe"
"Microsoft Store","MSIX\Microsoft.WindowsStore_22601.1401.3.0_x64__8wekyb3d8bbwe"
"Windows Terminal","Microsoft.WindowsTerminal"
"Windows Package Manager Source (winget) V2","MSIX\Microsoft.Winget.Source_2026.304.1956.35_neutral__8wekyb3d8bbwe"
"Windows Mediaspeler","MSIX\Microsoft.ZuneMusic_11.2512.10.0_x64__8wekyb3d8bbwe"
"Films en tv","MSIX\Microsoft.ZuneVideo_10.25121.10051.0_x64__8wekyb3d8bbwe"
"Quick Assist","MSIX\MicrosoftCorporationII.QuickAssist_2.0.29.0_x64__8wekyb3d8bbwe"
"Windows Web Experience Pack","MSIX\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy"
"Host voor apparaatoverschrijdende ervaring","MSIX\MicrosoftWindows.CrossDevice_1.26012.79.0_x64__cw5n1h2txyewy"
"HP Audio Control","MSIX\RealtekSemiconductorCorp.HPAudioControl_2.53.384.0_x64__dt26b99r8h8gj"
"Mail en Agenda","MSIX\microsoft.windowscommunicationsapps_16005.14326.22342.0_x64__8wekyb3d8bbwe"
