#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"Skype","MSIX\Microsoft.SkypeApp_15.150.3125.0_x64__kzf8qxf38zg5c"
"Start Experiences-app","MSIX\Microsoft.StartExperiencesApp_1.151.0.0_x64__8wekyb3d8bbwe"
"Store Experience Host","MSIX\Microsoft.StorePurchaseApp_22512.1401.1.0_x64__8wekyb3d8bbwe"
"Microsoft To Do","MSIX\Microsoft.Todos_2.168.6211.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","MSIX\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","MSIX\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml","Microsoft.UI.Xaml.2.7"
"Microsoft.UI.Xaml","Microsoft.UI.Xaml.2.8"
"Microsoft Visual C++ 2015 UWP Desktop Runtime Package","Microsoft.VCLibs.Desktop.14"
"Microsoft Visual C++ 2015 UWP Runtime Package","MSIX\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe"
"Microsoft Visual C++ 2015 UWP Runtime Package","MSIX\Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe"
"Uitbreidingen voor VP9-video","MSIX\Microsoft.VP9VideoExtensions_1.2.12.0_x64__8wekyb3d8bbwe"
"Media-uitbreidingen voor het web","MSIX\Microsoft.WebMediaExtensions_1.2.17.0_x64__8wekyb3d8bbwe"
"WebP afbeeldingextensie","MSIX\Microsoft.WebpImageExtension_1.2.14.0_x64__8wekyb3d8bbwe"
"Widgets Platform Runtime","MSIX\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe"
"Dev Home","MSIX\Microsoft.Windows.DevHome_0.0.0.0_x64__8wekyb3d8bbwe"
"Microsoft Foto's","MSIX\Microsoft.Windows.Photos_2025.11120.5001.0_x64__8wekyb3d8bbwe"
"Windows-klok","MSIX\Microsoft.WindowsAlarms_11.2512.0.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.5","MSIX\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.5","MSIX\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.6","MSIX\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.6","MSIX\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.7","MSIX\Microsoft.WindowsAppRuntime.1.7_7000.676.1651.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.7","MSIX\Microsoft.WindowsAppRuntime.1.7_7000.676.1651.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.675.1142.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.8","MSIX\Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x86__8wekyb3d8bbwe"
"Windows Rekenmachine","MSIX\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe"
"Windows Camera","MSIX\Microsoft.WindowsCamera_2025.2510.2.0_x64__8wekyb3d8bbwe"
"Feedback-hub","MSIX\Microsoft.WindowsFeedbackHub_1.2512.16303.0_x64__8wekyb3d8bbwe"
"Windows Kaarten","MSIX\Microsoft.WindowsMaps_11.2506.3.0_x64__8wekyb3d8bbwe"
"Windows Kladblok","MSIX\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe"
"Windows-geluidsrecorder","MSIX\Microsoft.WindowsSoundRecorder_11.2512.0.0_x64__8wekyb3d8bbwe"
"Microsoft Store","MSIX\Microsoft.WindowsStore_22601.1401.3.0_x64__8wekyb3d8bbwe"
"Windows Terminal","Microsoft.WindowsTerminal"
"Windows Package Manager Source (winget) V2","MSIX\Microsoft.Winget.Source_2026.309.1454.49_neutral__8wekyb3d8bbwe"
"Xbox TCUI","MSIX\Microsoft.Xbox.TCUI_1.24.10001.0_x64__8wekyb3d8bbwe"
"Xbox Console-companion","MSIX\Microsoft.XboxApp_48.104.4001.0_x64__8wekyb3d8bbwe"
